,images,brand
19,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-128_zoom3.jpg,asics
19,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-128_zoom4.jpg,asics
20,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-806_zoom1.jpg,asics
20,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-806_zoom2.jpg,asics
20,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-806_zoom3.jpg,asics
20,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-806_zoom4.jpg,asics
21,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-150_zoom1.jpg,asics
21,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-150_zoom2.jpg,asics
21,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-150_zoom3.jpg,asics
21,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-150_zoom4.jpg,asics
22,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-058_zoom1.jpg,asics
22,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-058_zoom2.jpg,asics
22,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-058_zoom3.jpg,asics
22,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-058_zoom4.jpg,asics
23,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-022_zoom1.jpg,asics
23,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-022_zoom2.jpg,asics
23,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-022_zoom3.jpg,asics
23,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-022_zoom4.jpg,asics
24,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-008_zoom1.jpg,asics
24,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-008_zoom2.jpg,asics
24,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-008_zoom3.jpg,asics
24,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-008_zoom4.jpg,asics
25,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-234_zoom1.jpg,asics
25,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-234_zoom2.jpg,asics
25,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-234_zoom3.jpg,asics
25,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-234_zoom4.jpg,asics
27,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-010_zoom1.jpg,nike
27,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-010_zoom2.jpg,nike
27,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-010_zoom3.jpg,nike
27,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-010_zoom4.jpg,nike
28,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-006_zoom1.jpg,nike
28,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-006_zoom2.jpg,nike
28,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-006_zoom3.jpg,nike
28,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-006_zoom4.jpg,nike
29,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-002_zoom1.jpg,nike
29,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-002_zoom2.jpg,nike
29,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-002_zoom3.jpg,nike
29,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-002_zoom4.jpg,nike
30,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-543_zoom1.jpg,nike
30,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-543_zoom2.jpg,nike
30,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-543_zoom3.jpg,nike
30,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-543_zoom4.jpg,nike
30,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-543_zoom5.jpg,nike
31,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-519_zoom1.jpg,nike
31,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-519_zoom2.jpg,nike
31,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-519_zoom3.jpg,nike
31,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D12-1407-519_zoom4.jpg,nike
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom1.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom2.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom3.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom4.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom5.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom6.jpg,adidas
32,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-026_zoom7.jpg,adidas
33,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1281-244_zoom1.jpg,nike
33,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1281-244_zoom2.jpg,nike
33,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1281-244_zoom3.jpg,nike
33,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1281-244_zoom4.jpg,nike
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom1.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom2.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom3.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom4.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom5.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom6.jpg,adidas
34,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-7530-205_zoom7.jpg,adidas
35,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-240_zoom1.jpg,adidas
35,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-240_zoom2.jpg,adidas
35,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-240_zoom3.jpg,adidas
35,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-240_zoom4.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom1.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom2.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom3.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom4.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom5.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom6.jpg,adidas
36,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-6981-798_zoom7.jpg,adidas
38,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-006_zoom1.jpg,olympikus
38,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-006_zoom2.jpg,olympikus
38,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-006_zoom3.jpg,olympikus
38,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-006_zoom4.jpg,olympikus
39,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-997_zoom1.jpg,olympikus
39,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-997_zoom2.jpg,olympikus
39,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-997_zoom3.jpg,olympikus
39,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-997_zoom4.jpg,olympikus
40,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-791_zoom1.jpg,olympikus
40,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-791_zoom2.jpg,olympikus
40,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-791_zoom3.jpg,olympikus
40,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-791_zoom4.jpg,olympikus
41,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-012_zoom1.jpg,olympikus
41,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-012_zoom2.jpg,olympikus
41,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-012_zoom3.jpg,olympikus
41,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-012_zoom4.jpg,olympikus
42,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-234_zoom1.jpg,olympikus
42,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-234_zoom2.jpg,olympikus
42,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-234_zoom3.jpg,olympikus
42,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-234_zoom4.jpg,olympikus
42,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-234_zoom5.jpg,olympikus
43,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-040_zoom1.jpg,olympikus
43,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-040_zoom2.jpg,olympikus
43,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-040_zoom3.jpg,olympikus
43,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-040_zoom4.jpg,olympikus
43,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-040_zoom5.jpg,olympikus
44,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-205_zoom1.jpg,olympikus
44,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-205_zoom2.jpg,olympikus
44,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-205_zoom3.jpg,olympikus
44,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1771-205_zoom4.jpg,olympikus
45,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-202_zoom1.jpg,olympikus
45,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-202_zoom2.jpg,olympikus
45,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-202_zoom3.jpg,olympikus
45,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-202_zoom4.jpg,olympikus
45,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-202_zoom5.jpg,olympikus
46,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-018_zoom1.jpg,olympikus
46,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-018_zoom2.jpg,olympikus
46,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-018_zoom3.jpg,olympikus
46,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-018_zoom4.jpg,olympikus
46,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2977-018_zoom5.jpg,olympikus
47,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D14-6310-872_zoom1.jpg,puma
47,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D14-6310-872_zoom2.jpg,puma
47,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D14-6310-872_zoom3.jpg,puma
47,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D14-6310-872_zoom4.jpg,puma
48,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-847_zoom1.jpg,nike
48,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-847_zoom2.jpg,nike
48,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-847_zoom3.jpg,nike
48,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-847_zoom4.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom1.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom2.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom3.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom4.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom5.jpg,nike
49,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1278-794_zoom6.jpg,nike
52,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-405_zoom1.jpg,mizuno
52,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-405_zoom2.jpg,mizuno
52,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-405_zoom3.jpg,mizuno
52,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-405_zoom4.jpg,mizuno
53,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-038_zoom1.jpg,mizuno
53,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-038_zoom2.jpg,mizuno
53,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-038_zoom3.jpg,mizuno
53,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-038_zoom4.jpg,mizuno
54,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-3304-060_zoom1.jpg,olympikus
54,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-3304-060_zoom2.jpg,olympikus
54,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-3304-060_zoom3.jpg,olympikus
54,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-3304-060_zoom4.jpg,olympikus
55,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-236_zoom1.jpg,mizuno
55,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-236_zoom2.jpg,mizuno
55,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-236_zoom3.jpg,mizuno
55,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-236_zoom4.jpg,mizuno
56,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-216_zoom1.jpg,mizuno
56,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-216_zoom2.jpg,mizuno
56,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-216_zoom3.jpg,mizuno
56,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-216_zoom4.jpg,mizuno
57,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-128_zoom1.jpg,mizuno
57,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-128_zoom2.jpg,mizuno
58,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-006_zoom1.jpg,mizuno
58,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-006_zoom2.jpg,mizuno
58,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-006_zoom3.jpg,mizuno
58,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D16-2774-006_zoom4.jpg,mizuno
59,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-304_zoom1.jpg,olympikus
59,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-304_zoom2.jpg,olympikus
59,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-304_zoom3.jpg,olympikus
59,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-304_zoom4.jpg,olympikus
59,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-304_zoom5.jpg,olympikus
60,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3003-492_zoom1.jpg,asics
60,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3003-492_zoom2.jpg,asics
60,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3003-492_zoom3.jpg,asics
60,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3003-492_zoom4.jpg,asics
61,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-778_zoom1.jpg,olympikus
61,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-778_zoom2.jpg,olympikus
61,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-778_zoom3.jpg,olympikus
61,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-778_zoom4.jpg,olympikus
61,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-778_zoom5.jpg,olympikus
62,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-876_zoom1.jpg,olympikus
62,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-876_zoom2.jpg,olympikus
62,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-876_zoom3.jpg,olympikus
62,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-876_zoom4.jpg,olympikus
62,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2836-876_zoom5.jpg,olympikus
75,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2140-012_zoom1.jpg,olympikus
